Dimension,Verbatims
Calidad de atencion ,Esta es la segunda vez que opero con el banco y la verdad que nunca tuve inconvenientes siempre fui bien atendido. Cundo necesite atencion personalizada la tuve y buena calidad
Canales y servicios,Con respecto a otras paginas de otros bancos hay cosas que por ahu no me resultan faciles de ver o de ubicar por ej. los res˙menes de cuenta.  Quizas tiene que ver con mi poco conocimiento de la tecnologua.
Calidad de atencion ,Porque lo que fui hacer estuve bien atendido. Fueron amables.
Calidad de atencion ,Yo uso el banco hace mucho tiempo y siempre que voy tienen buena predisposicion
Canales y servicios,Porque las veces que quise comunicarme con un operador no pude
Canales y servicios,Es practica ya gil de operar es amigable
Calidad de atencion ,Mas agilidad en el sector vip
Calidad de atencion ,Estoy conforme en general todo es perfecto
Calidad de atencion ,No tuve ning˙n problema no lo puedo valuar. Lo poco que lo use es sin inconvenientes. Soy cliente desde principio de aÒo.
Layout sucursal,No quiza que haya un lugar mas reservado para atencion mas personalizada. En las dos sucursales que fui no habua
Canales y servicios,Porque me atendieron muy bien y te resuelven las cosas
Canales y servicios,Porque tenes la posibilidad de operar lo ˙nico era mas rapida  la de antes. La quisieron modernizar pero no funciona tiene todo
Canales y servicios,Lo que tenua que usar lo pude hacer me aprecio bien pero no se todas las opciones. No te puedo decir mas
Calidad de atencion ,No se a mu me trataron muy bien. Lo que me dan es lo que necesito
Tiempos de espera,Porque tiene poco cajeros personas falta mas empleados
Tiempos de espera,Porque hay poca gente para atender a los clientes
Gestion de consultas,Porque no me solucionan los problemas que tengo
Layout sucursal,Las sucursales. Los boxes el tamaÒo la falta de capacidad. O abrir las sucursales. Es una porquerua eso. El lugar es muy reducido.
Canales y servicios,Por la buena atencion. Tienen todas las respuestas. Me han evacuado las preguntas
Canales y servicios,Es practica. Es ˙til. De esa manera chequeo permanentemente todas mis cosas
Layout sucursal,Porque los lugares son incomodos. Esta a la vista de todos y no hay privacidad. Es malo el diseÒo
Canales y servicios,Es ˙til y me gusta como se manejan es claro y facil
Canales y servicios,Porque te avisan y te mandan mensajes estan comunicandote permanentemente acunado hay oferta de productos nuevos
Canales y servicios,No he tenido inconveniente. Ahora es mas clara. Antes era muy difucil hacer los pagos por pago mis cuentas. No encontraba la opcion. Ahora su.
Gestion de consultas,Porque cada vez que tengo alg˙n inconveniente o alguna cuestion ella me lo resuelve.
Productos,Tiene una basta variedad de beneficios tienen cuotas.  La suma de kms con LAN.
Canales y servicios,Accedo bien y me da informacion de los beneficios del frances go.
Tiempos de espera,Me atendieron rapido cuando fui a pagar las tarjetas.
Canales y servicios,Hay cosas de la pagina web cuestiones de dinamica en algunas sucursales los tiempos. Siempre hay cosas por mejorar
Canales y servicios,Por lo simple que es para entrar en la pagina de internet
Canales y servicios,Porque se puede visualizar todo y hacer todo
Calidad de atencion ,Por la atencion que tiene
Tiempos de espera,Por la poco esperas
Canales y servicios,Porque llame para hacer consultas y no tuve problemas
Canales y servicios,Es bueno y es claro es y es practico
Tiempos de espera,Hay mucho lio dentro de la sucursal hay mucha demora
Productos,Porque estan buenas las tarjetas con los puntos de LAN y las ofertas de frances go
Disp. automaticos,Se pierde muchusimo tiempo con los cajeros se rompen con mucha frecuencia y las terminales casi nunca funcionan siempre tienen alg˙n problema
Canales y servicios,Es practica rapida no tengo nada malo que decir es expeditiva podes verificar la cuneta.
Canales y servicios,Porque estoy conforme. Nada en especial. ⁄ltimamente utilice la App del celular es buenusima. Es mas rapida que la pagina web
Canales y servicios,Tiene muchos mas pasos para llegar al ingreso de mi cuenta. Para ingresar a lo que yo quiero hacer. En cambio la App es mucho mas rapida. Entro directamente. Tengo que poner usurario y contraseÒa pero despues entro directo. La otra tiene publicidades. Es mas lenta mas complicada
Productos,Los costos de los paquetes. El del Premium era mas economico antes.
Calidad de atencion ,Siempre me han atendido de manera personalizada siempre en cuentas o transferencias no he tenido errores en los movimientos
Canales y servicios,Es muy bueno es muy amigable el sistema facil de acceder tiene toda la informacion.
Canales y servicios,Porque en general te solucionan la inquietud
Canales y servicios,Es agil y me facilita la operatoria en su ˙ltimo diseÒo es facil para acceder y tiene toda la informacion sobre la cuenta para vincularse con las tarjetas
Disp. automaticos,Mas luneas de cajeros electronicos y terminales de autoservicio porque hay cola hasta afuera de la sucursal
Productos,Los precios de los paquetes de las cuentas son medio caros.
Calidad de atencion ,Porque hasta ahora conmigo estuvo todo bien. Es buena la atencion. Todo correcto. Cuando vas a hacer alg˙n tramite te atienden bien
Calidad de atencion ,Es la ˙nica que voy. La gente que la atiende es correcta es buena.
Tiempos de espera,A veces hay unas colas importantes y son pocos los cajeros entonces deberua ser mas rapida la atencion.
Canales y servicios,Es facil para alguien mayor como yo entenderlo y navegarlo
Layout sucursal,No hay numeracion de turnos y no hay para esperar sentado
Canales y servicios,Porque es muy  practico
Layout sucursal,Porque es una sucursal muy linda la sucursal 999 porque esteticamente me gusta
Productos,Porque tiene buenas promociones
Canales y servicios,Porque puedo operar facil no hay ning˙n problema. Siempre que entre es claro es facil de operar
Productos,No uso ning˙n producto mas que la tarjeta. Por eso no pudo calificar
Productos,Mas promociones para los clientes como con productos o servicios mas descuentos
Canales y servicios,Por la calidad de la atencion
Canales y servicios,Por el tema de la clave ya lo hacen muy complejo
Tiempos de espera,Porque hay que hacer mucha cola y se acumula mucha gente
Calidad de atencion ,Mas cordialidad de los empleados mas cortes
Calidad de atencion ,Porque la calidad que tiene con la atencion se preocupa por los clientes
Procesos,Poder ver mas que nada resumen historicos no puedo ver el de mes anterior o mucho mas atras.
Productos,Lo que pasa es que son siempre las mismas ofertas te ofrecen prestamos personales siempre estarua bueno que te ofrezcan prestamos prendarios.
Canales y servicios,La verdad que accedo rapido y esta todo bien especificado
Calidad de atencion ,No he usado muchos productos pero cuando los necesite siempre bien
TCR,Porque creo que a veces la atencion es poco clara
Canales y servicios,Hay momentos que se ha caudo el sistema
Gestion de consultas,No termina de resolver de manera clara mis inquietudes
Calidad de atencion ,Tengo cubierta las necesidades personales con los productos que tiene
Calidad de atencion ,En el momento en que yo me pase a este banco y en frente  se abrio una sucursal. Me dio una atencion muy buena la gerente los oficiales todo muy personalizado me llamaban por telefono buena relacion. Eso era antes ahora eso se perdio por la cantidad de cliente ahora sos un nro.
Canales y servicios,La pagina como estaba antes era muy facil manejo la de ahora es muy complicado y eso que  no soy de madera pero es complicada antes era mas amigable por ejemplo para hacer transferencias. Si tengo que hacerle a un tercero antes uno entraba ponuas en cbu y marcabas. Ahora te pone el cbu y te a
Calidad de atencion ,En la sucursal nueva al principio eramos pocos y ahora uno es cliente tiene productos lo usa si van cien tipos a pagar el ABL y te ponen en la misma fila. La sucursal en si sigue siendo buena a pesar de que la gente que habua antes solo queda una. Tendruan que diferenciar los clientes de no cliente
Calidad de atencion ,Se mezclan las cien personas que tenuan que pagar un impuesto y es la misma fila se tendrua que diferenciar la fila de clientes y no clientes
Canales y servicios,Las distintas claves y la frecuencia con la que tengo que cambiarlas. Lo bueno es la navegabilidad. Mas velocidad en las transferencias.
Procesos,Ser mas agiles con las respuestas que yo necesite. Mas que nada personalmente en la sucursal.
Canales y servicios,Porque es facil de operar. Es de facil acceso. Es facil realizar operaciones.
Productos,Tiene bastantes promociones con lo que es los locales. Descuentos en comercios.
Canales y servicios,Desde que la renovaron cambio mucho la forma de navegarla. La encontre mas amigable es mas sencillo hacer los tramites. Tiene mas tramites para hacer que antes.
Layout sucursal,Deberua mejorar la seÒalizacion de los tramites. Cuando te dan un n˙mero no sabes si es para las cajas o para atencion al cliente o con un ejecutivo.
Productos,Tiene muchas promociones y ofertas. Los productos estan en todos los rubros que me interesan.
Canales y servicios,No se me ocurre nada para mejorar. En general puedo obtener la informacion que necesito y realizar las operaciones sin problemas.
Canales y servicios,Tiene todos los servicios para poder operarla.
Calidad de atencion ,Me gusta porque hay una fila vip y tenes prioridad en la lunea de cajas.
Productos,Es como toda la tarjeta nunca tuve problemas con ellas.
Disp. automaticos,Por el tema de los atm que no siempre dan lo que tendruan que dar esto me ha pasado mas que anda estando de vacaciones.
Canales y servicios,Porque siempre funciona bien y es agil para operar.
Calidad de atencion ,Porque la atencion es excelente en cuanto al trato por parte de los cajeros.
Calidad de atencion ,No conozco tanto la variedad de productos. Lo que utilizo funciona bien en general.
Calidad de atencion ,Siempre me tocaron ejecutivos de cuenta muy buenos pero el ˙ltimo aÒo me toco ejecutiva muy maleducada le pedu que me atendiera por favor esa fue la experiencia negativa
Calidad de atencion ,Me parece que los cambios de ejecutivo tienen que estar mas alineados no podes poner un ejecutivo nuevo que no considere 25 aÒos de trayectoria con el banco
Canales y servicios,Porque es rapido es eficaz y es s˙per entendible
Calidad de atencion ,Porque la atencion que tiene sobre todo es muy buena y el ejecutivo de cuenta me atendido muy bien
Tiempos de espera,Me gusta la rapidez en la atencion de los asesores.
Canales y servicios,Es simple de utilizar y se pueden hacer tramites y abrir cuentas.
Productos,Algunos productos son un poco caros como por ejemplo el paquete vip.
Gestion de consultas,Me tomaron el reclamo pero nunca fue solucionado. Igualmente no considero que sea culpa del operador.
Productos,Porque estan bonificados en un 100 por 100. Me parece muy atractivo poder sumar millas con el programa LAN pass.
